id,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
SP3194,1,75,Yes,9,5,50.0
SP3624,5,54,Yes,5,1,36.0
SP3631,3,51,No,7,6,34.0
SP2891,8,81,No,4,1,74.0
SP5757,9,58,No,8,7,59.0
SP3228,6,95,No,4,0,82.0
SP4644,4,99,No,9,8,87.0
SP296,7,72,Yes,6,9,65.0
SP4158,9,56,No,4,4,50.0
SP195,6,60,Yes,6,2,50.0
SP8159,7,90,Yes,4,1,76.0
SP3424,4,80,No,5,3,68.0
SP6057,4,91,Yes,8,9,73.0
SP7100,1,80,No,6,3,55.0
SP2317,7,85,No,9,3,74.0
SP6600,8,94,Yes,7,4,83.0
SP5348,3,59,Yes,8,5,38.0
SP1126,8,94,No,8,6,92.0
SP9278,3,65,Yes,5,9,45.0
SP6419,5,77,No,6,3,62.0
SP9376,8,65,No,6,5,59.0
SP6542,5,84,Yes,7,1,74.0
SP2559,7,99,Yes,4,3,94.0
SP8158,7,54,No,5,8,47.0
SP3495,7,73,Yes,6,1,64.0
SP1627,9,42,No,4,4,36.0
SP2164,8,73,Yes,5,8,72.0
SP2074,4,43,No,7,9,30.0
SP152,8,59,Yes,6,4,55.0
SP4797,1,58,No,7,4,33.0
SP2584,5,46,No,5,1,32.0
SP9168,3,62,No,8,1,41.0
SP2489,6,79,Yes,7,9,70.0
SP608,5,77,No,8,2,61.0
SP8232,4,61,Yes,7,5,46.0
SP6934,9,77,Yes,4,8,74.0
SP5883,2,62,No,4,9,40.0
SP2407,4,43,Yes,7,6,26.0
SP5389,8,80,Yes,4,0,73.0
SP61,2,78,Yes,4,2,56.0
SP802,1,98,Yes,5,8,73.0
SP1091,7,71,Yes,4,7,62.0
SP1067,2,61,No,9,0,37.0
SP2305,4,43,No,7,6,27.0
SP7127,6,60,No,6,3,48.0
SP4919,8,46,No,6,5,40.0
SP1995,4,84,Yes,9,2,67.0
SP3797,1,67,Yes,8,5,42.0
SP5131,8,85,No,7,2,78.0
SP2377,1,72,No,8,6,49.0
SP7823,3,87,Yes,7,6,66.0
SP6128,1,51,No,7,3,23.0
SP1517,9,66,No,4,0,61.0
SP306,5,92,No,5,9,78.0
SP3828,8,65,No,8,7,61.0
SP2136,8,71,No,8,9,65.0
SP1353,5,66,Yes,4,3,49.0
SP6682,1,93,No,8,5,68.0
SP7850,9,63,Yes,4,2,59.0
SP619,6,43,Yes,4,0,27.0
SP8044,8,84,Yes,9,6,79.0
SP7128,4,54,No,4,9,38.0
SP4122,9,56,Yes,9,5,55.0
SP3437,3,72,Yes,5,0,46.0
SP8145,2,46,Yes,6,8,21.0
SP8445,5,98,No,8,5,86.0
SP1241,2,68,Yes,7,6,46.0
SP9760,6,44,Yes,7,3,31.0
SP3837,3,72,No,6,5,52.0
