claim_number,fraud_prediction
8425,0
16925,0
14484,0
6428,0
14903,0
3368,0
24683,0
27488,0
9874,0
11126,0
24548,0
29855,0
10543,0
9236,0
5319,0
16765,0
12561,0
19053,0
4500,0
17778,0
7263,0
16048,0
3328,0
14747,0
14117,0
6487,0
5163,0
29951,0
20137,0
15702,0
20107,0
18104,0
25344,0
13561,0
3375,0
13453,0
12427,0
20439,0
16516,0
23931,0
6858,0
21674,0
7550,0
17,0
23635,0
4638,0
15517,0
13228,0
15226,0
10760,0
27598,0
9530,0
7318,0
5974,0
7324,0
29948,0
2736,0
5106,0
28886,0
1532,0
4907,0
9684,0
24128,0
22240,0
9747,0
20442,0
25257,0
18190,0
24513,0
21979,0
11933,0
16827,0
193,0
6352,0
28922,0
25985,0
13332,0
3723,0
6551,0
14007,0
2007,0
29863,0
11707,0
29015,0
26232,0
24912,0
3187,0
29598,0
21391,0
3644,0
28597,0
7436,0
12971,0
1182,0
9221,0
3026,0
13116,0
5903,0
12815,0
3678,0
29151,0
16893,0
14753,0
9370,0
3675,0
4562,0
9179,0
24600,0
21495,0
899,0
15581,0
5476,0
12844,0
21275,0
18676,0
29861,0
20197,0
25428,0
3749,0
6513,0
9332,0
811,0
27445,0
13908,0
29940,0
28106,0
8327,0
8682,0
18777,0
3443,0
3386,0
25244,0
3495,0
17310,0
1821,0
5659,0
12349,0
18993,0
2189,0
10124,0
28935,0
12782,0
24021,0
29037,0
28738,0
9848,0
1214,0
14481,0
11947,0
23819,0
9631,0
8108,0
17080,0
16585,0
12905,0
6022,0
3450,0
16623,0
210,0
16232,0
26055,0
29242,0
23388,0
24533,0
4012,0
1031,0
8759,0
28708,0
26659,0
29637,0
27204,0
22993,0
25766,0
2413,0
13563,0
22193,0
10051,0
25715,0
3439,0
29446,0
20820,0
17372,0
2552,0
2688,0
2180,0
9225,0
25827,0
10692,0
12818,0
4528,0
1978,0
22917,0
19661,0
22458,0
7008,0
398,0
3248,0
21669,0
8165,0
29611,0
4764,0
28746,0
21776,0
8836,0
29710,0
27247,0
11972,0
8408,0
27850,0
9160,0
7161,0
2471,0
12925,0
1771,0
3602,0
23472,0
14146,0
29965,0
17761,0
21579,0
18736,0
12161,0
10608,0
9461,0
27490,0
18137,0
936,0
970,0
27847,0
4512,0
14092,0
7677,0
20250,0
25228,0
23438,0
24196,0
910,0
16790,0
16417,0
9693,0
25778,0
28923,0
606,0
8150,0
17706,0
29619,0
17220,0
18792,0
12840,0
24223,0
11024,0
23074,0
26615,0
19852,0
27456,0
4499,0
15893,0
12008,0
19855,0
4566,0
856,0
10202,0
28818,0
8247,0
16599,0
23720,0
23393,0
8974,0
26273,0
28837,0
26787,0
18410,0
15884,0
8382,0
17541,0
10648,0
23146,0
11102,0
6301,0
8639,0
22064,0
2144,0
5695,0
21933,0
22144,0
865,0
20229,0
5815,0
7259,0
22559,0
7588,0
18971,0
23923,0
10143,0
8710,0
371,0
17825,0
3881,0
285,0
2986,0
10310,0
15251,0
19887,0
22938,0
10215,0
18906,0
8874,0
1505,0
15900,0
14212,0
1417,0
22960,0
22235,0
24712,0
21817,0
15177,0
15455,0
26352,0
19166,0
5474,0
26450,0
29788,0
19272,0
2824,0
17931,0
7189,0
28400,0
22957,0
666,0
16230,0
8786,0
28262,0
29357,0
15704,0
13901,0
15328,0
7924,0
13010,0
20266,0
27199,0
16235,0
6411,0
24962,0
29757,0
5277,0
13680,0
4675,0
26549,0
22296,0
9793,0
6398,0
19816,0
18334,0
4507,0
19515,0
18544,0
2894,0
11895,0
1493,0
6654,0
20420,0
15001,0
19630,0
8926,0
18376,0
5920,0
22858,0
870,0
9357,0
22796,0
21245,0
4314,0
6203,0
98,0
12226,0
9184,0
22416,0
4171,0
28064,0
29494,0
7116,0
16782,0
10721,0
27675,0
16673,0
2887,0
1660,0
20469,0
840,0
26338,0
2628,0
16785,0
24790,0
548,0
13487,0
19108,0
9115,0
27290,0
13149,0
3687,0
19708,0
8602,0
11149,0
18216,0
24858,0
21305,0
19085,0
19915,0
8243,0
29878,0
25877,0
13770,0
7977,0
1789,0
23128,0
26664,0
17352,0
1047,0
16867,0
16556,0
12888,0
6020,0
6996,0
3338,0
1379,0
18113,0
21291,0
22455,0
25278,0
13306,0
110,0
24025,0
1209,0
11114,0
50,0
18956,0
3799,0
26267,0
15243,0
25917,0
2097,0
849,0
527,0
27980,0
1109,0
28347,0
16986,0
29412,0
23698,0
10007,0
17884,0
26694,0
12542,0
4693,0
24074,0
745,0
21713,0
24646,0
25971,0
27165,0
5381,0
2664,0
6960,0
11698,0
18165,0
7694,0
12948,0
15917,0
260,0
15388,0
18783,0
26455,0
16345,0
29932,0
1591,0
8220,0
3934,0
12148,0
21585,0
29809,0
23199,0
6736,0
21572,0
21890,0
12478,0
28611,0
29083,0
18950,0
21690,0
26587,0
941,0
9765,0
18279,0
28596,0
21088,0
706,0
1458,0
26145,0
13008,0
6867,0
23491,0
20514,0
24158,0
16325,0
5282,0
9168,0
19929,0
25777,0
12111,0
780,0
5504,0
26127,0
21706,0
26622,0
73,0
16667,0
7025,0
20752,0
27024,0
15221,0
13191,0
27749,0
17736,0
4972,0
23970,0
18852,0
11059,0
15576,0
23318,0
1418,0
14855,0
26759,0
21303,0
11320,0
24395,0
9737,0
27441,0
21754,0
28731,0
4130,0
8013,0
5567,0
29404,0
29827,0
11781,0
10983,0
21518,0
27206,0
5935,0
25916,0
10649,0
34,0
11181,0
3359,0
10002,0
19215,0
283,0
13634,0
9853,0
17793,0
18504,0
8231,0
9873,0
275,0
19393,0
6029,0
5995,0
4503,0
16792,0
20531,0
481,0
1459,0
5039,0
14243,0
25975,0
29230,0
9482,0
19804,0
26207,0
2975,0
21927,0
21248,0
12649,0
10639,0
11262,0
6663,0
14875,0
13731,0
14992,0
29565,0
21636,0
24358,0
15133,0
29480,0
25585,0
10693,0
9242,0
15115,0
19486,0
25377,0
24043,0
12195,0
10917,0
5355,0
7814,0
7384,0
20077,0
2906,0
17719,0
26684,0
1543,0
27866,0
24999,0
28972,0
5082,0
2134,0
10316,0
1212,0
4627,0
12125,0
6835,0
30,0
26792,0
27580,0
23982,0
24649,0
1716,0
7993,0
24400,0
19841,0
26169,0
6507,0
17214,0
21006,0
16142,0
13491,0
16242,0
22915,0
26786,0
2130,0
17202,0
10154,0
16331,0
13521,0
21280,0
24267,0
22722,0
23626,0
19015,0
17394,0
27252,0
20203,0
11418,0
23369,0
20513,0
4160,0
9192,0
1375,0
20760,0
8241,0
29641,0
9508,0
28594,0
1952,0
12243,0
5527,0
2210,0
209,0
1699,0
29568,0
27378,0
29245,0
28608,0
2908,0
27941,0
14295,0
10294,0
7778,0
11511,0
1480,0
16147,0
27322,0
29892,0
17043,0
22286,0
23669,0
10737,0
28557,0
2206,0
981,0
5831,0
23048,0
28415,0
11119,0
2980,0
12294,0
26026,0
24777,0
13855,0
9662,0
26555,0
2987,0
2619,0
4108,0
17410,0
19387,0
20730,0
16752,0
9509,0
4567,0
10495,0
3354,0
236,0
